id,details_link
1,https://regexlib.com/REDetails.aspx?regexp_id=1
2,https://regexlib.com/REDetails.aspx?regexp_id=2
3,https://regexlib.com/REDetails.aspx?regexp_id=3
4,https://regexlib.com/REDetails.aspx?regexp_id=4
5,https://regexlib.com/REDetails.aspx?regexp_id=9
6,https://regexlib.com/REDetails.aspx?regexp_id=10
7,https://regexlib.com/REDetails.aspx?regexp_id=11
8,https://regexlib.com/REDetails.aspx?regexp_id=12
9,https://regexlib.com/REDetails.aspx?regexp_id=13
10,https://regexlib.com/REDetails.aspx?regexp_id=14
11,https://regexlib.com/REDetails.aspx?regexp_id=15
12,https://regexlib.com/REDetails.aspx?regexp_id=16
13,https://regexlib.com/REDetails.aspx?regexp_id=17
15,https://regexlib.com/REDetails.aspx?regexp_id=19
16,https://regexlib.com/REDetails.aspx?regexp_id=20
18,https://regexlib.com/REDetails.aspx?regexp_id=22
19,https://regexlib.com/REDetails.aspx?regexp_id=23
20,https://regexlib.com/REDetails.aspx?regexp_id=25
25,https://regexlib.com/REDetails.aspx?regexp_id=30
26,https://regexlib.com/REDetails.aspx?regexp_id=31
27,https://regexlib.com/REDetails.aspx?regexp_id=32
29,https://regexlib.com/REDetails.aspx?regexp_id=34
31,https://regexlib.com/REDetails.aspx?regexp_id=36
33,https://regexlib.com/REDetails.aspx?regexp_id=38
34,https://regexlib.com/REDetails.aspx?regexp_id=39
36,https://regexlib.com/REDetails.aspx?regexp_id=41
37,https://regexlib.com/REDetails.aspx?regexp_id=42
41,https://regexlib.com/REDetails.aspx?regexp_id=46
42,https://regexlib.com/REDetails.aspx?regexp_id=47
44,https://regexlib.com/REDetails.aspx?regexp_id=49
45,https://regexlib.com/REDetails.aspx?regexp_id=50
46,https://regexlib.com/REDetails.aspx?regexp_id=51
47,https://regexlib.com/REDetails.aspx?regexp_id=52
48,https://regexlib.com/REDetails.aspx?regexp_id=53
49,https://regexlib.com/REDetails.aspx?regexp_id=54
53,https://regexlib.com/REDetails.aspx?regexp_id=58
54,https://regexlib.com/REDetails.aspx?regexp_id=59
55,https://regexlib.com/REDetails.aspx?regexp_id=60
57,https://regexlib.com/REDetails.aspx?regexp_id=62
64,https://regexlib.com/REDetails.aspx?regexp_id=69
65,https://regexlib.com/REDetails.aspx?regexp_id=70
66,https://regexlib.com/REDetails.aspx?regexp_id=71
67,https://regexlib.com/REDetails.aspx?regexp_id=73
68,https://regexlib.com/REDetails.aspx?regexp_id=74
69,https://regexlib.com/REDetails.aspx?regexp_id=75
72,https://regexlib.com/REDetails.aspx?regexp_id=78
73,https://regexlib.com/REDetails.aspx?regexp_id=79
74,https://regexlib.com/REDetails.aspx?regexp_id=80
75,https://regexlib.com/REDetails.aspx?regexp_id=82
76,https://regexlib.com/REDetails.aspx?regexp_id=83
77,https://regexlib.com/REDetails.aspx?regexp_id=84
78,https://regexlib.com/REDetails.aspx?regexp_id=85
80,https://regexlib.com/REDetails.aspx?regexp_id=87
81,https://regexlib.com/REDetails.aspx?regexp_id=88
82,https://regexlib.com/REDetails.aspx?regexp_id=89
83,https://regexlib.com/REDetails.aspx?regexp_id=90
84,https://regexlib.com/REDetails.aspx?regexp_id=91
86,https://regexlib.com/REDetails.aspx?regexp_id=93
87,https://regexlib.com/REDetails.aspx?regexp_id=95
89,https://regexlib.com/REDetails.aspx?regexp_id=97
92,https://regexlib.com/REDetails.aspx?regexp_id=101
94,https://regexlib.com/REDetails.aspx?regexp_id=103
95,https://regexlib.com/REDetails.aspx?regexp_id=104
96,https://regexlib.com/REDetails.aspx?regexp_id=105
97,https://regexlib.com/REDetails.aspx?regexp_id=106
98,https://regexlib.com/REDetails.aspx?regexp_id=107
99,https://regexlib.com/REDetails.aspx?regexp_id=108
100,https://regexlib.com/REDetails.aspx?regexp_id=109
103,https://regexlib.com/REDetails.aspx?regexp_id=112
104,https://regexlib.com/REDetails.aspx?regexp_id=113
107,https://regexlib.com/REDetails.aspx?regexp_id=116
108,https://regexlib.com/REDetails.aspx?regexp_id=117
110,https://regexlib.com/REDetails.aspx?regexp_id=122
112,https://regexlib.com/REDetails.aspx?regexp_id=124
113,https://regexlib.com/REDetails.aspx?regexp_id=125
114,https://regexlib.com/REDetails.aspx?regexp_id=126
115,https://regexlib.com/REDetails.aspx?regexp_id=127
117,https://regexlib.com/REDetails.aspx?regexp_id=129
118,https://regexlib.com/REDetails.aspx?regexp_id=130
119,https://regexlib.com/REDetails.aspx?regexp_id=131
120,https://regexlib.com/REDetails.aspx?regexp_id=132
